iter	Passed	Remaining
0	1	148
1	2	118
2	3	106
3	4	102
4	5	98
5	6	94
6	7	100
7	8	98
8	9	95
9	10	95
10	11	93
11	12	91
12	13	91
13	14	89
14	15	88
15	16	87
16	17	85
17	18	83
18	19	82
19	20	82
20	21	81
21	22	79
22	23	78
23	24	77
24	25	75
25	26	75
26	27	75
27	28	73
28	29	72
29	30	71
30	31	70
31	32	69
32	33	68
33	34	67
34	35	65
35	36	64
36	37	63
37	38	62
38	39	62
39	40	61
40	41	59
41	42	58
42	43	57
43	44	56
44	45	55
45	46	54
46	47	53
47	48	52
48	49	51
49	50	50
50	51	49
51	52	48
52	53	47
53	54	46
54	55	45
55	56	44
56	57	43
57	58	42
58	59	41
59	60	40
60	61	39
61	62	38
62	63	37
63	64	36
64	65	35
65	66	34
66	67	33
67	68	32
68	69	31
69	70	30
70	71	29
71	72	28
72	73	27
73	74	26
74	75	25
75	76	24
76	77	23
77	78	22
78	79	21
79	79	19
80	80	18
81	81	17
82	82	16
83	83	15
84	85	15
85	86	14
86	86	12
87	87	11
88	88	10
89	89	9
90	90	8
91	91	7
92	92	6
93	93	5
94	94	4
95	95	3
96	96	2
97	97	1
98	98	0
99	99	0
