Num_of_Fixations,Mean_Fixation_Duration,Skew_Fixation_Duration,First_Fixation_Duration,Mean_Saccade_Duration,Skew_Saccade_Duration,Skew_Saccade_Amplitude,Mean_Saccade_Direction,SD_Saccade_Direction,Max_Saccade_Direction,Num_of_Blink,Mean_Blink_Duration,Skew_Blink_Duration,Num_of_Microsac,Mean_Microsac_Peak_Vel,SD_Microsac_Peak_Vel,Skew_Microsac_Peak_Vel,SD_Microsac_Ampl,Skew_Microsac_Ampl,Mean_Microsac_Dir,SD_Microsac_Dir,Max_Microsac_Dir,Mean_Microsac_H_Amp,Skew_Microsac_H_Amp,Max_Microsac_H_Amp,Mean_Microsac_V_Amp,SD_Microsac_V_Amp,Skew_Microsac_V_Amp,Max_Microsac_V_Amp,stres,Mean,SD,Number of Peaks
0.605555556,1208.440367,2.080900072,1640,438.0642202,2.016306277,3.158916484,-0.361115329,1.934984017,3.139620928,0.177777778,77.46875,2.743089671,0.966666667,163.8686944,67.48929506,0.302995844,21.83459029,5.556833549,6.280908433,114.8946652,179.7194946,0.419874475,3.156580053,220.0697458,-0.182289363,8.975205725,0.107802951,45.07047381,0,3.560146243,0.139966108,1.93e-05
0.459183673,1796.311111,2.346292837,556,392.0,1.023167279,2.101447025,-0.181993607,2.038648877,3.113317467,0.06122449,104.5,1.322178372,1.153061224,143.3160679,71.79960331,0.998449896,72.38346091,9.113773762,16.06118816,114.1003044,179.5639068,-4.596919929,-8.745373198,144.1739405,0.660247755,10.52347091,3.971436841,81.15067106,0,5.567496013,0.659287207,3.63e-05
0.48,1617.694444,1.633123494,671,481.3142857,1.719941235,2.159988753,0.222246146,2.055253348,3.137428337,0.08,67.5,0.682106809,0.973333333,134.2042658,72.69324207,0.933668289,18.95927536,5.347712423,23.25673635,112.5321976,179.7890911,-1.217539832,-2.922201637,35.32371456,-1.158867797,14.65930903,-5.19858849,26.59586138,0,4.072887837,0.530539192,4.11e-05
0.454545455,1858.763636,3.296110938,1804,349.2407407,2.130970007,2.266863912,0.316126894,2.125495283,3.138397732,0.033057851,59.5,0.469973427,1.719008264,113.0867327,78.8813058,1.696870951,23.30250382,5.48316835,-15.54536742,117.0131903,179.8467768,-0.908321025,-3.302714233,122.2940535,0.094660464,3.775846639,1.529565261,29.63788293,1,5.407625223,0.891520642,4.15e-05
0.527777778,1582.126316,1.862891538,1315,311.5319149,2.211396682,2.417801929,-0.252052982,2.005192229,3.140575656,0.127777778,89.2173913,1.657277347,0.894444444,141.0925633,52.82170457,0.809577421,14.37126952,4.674885833,-28.16982857,120.5878906,179.868585,-2.472083597,-2.911459386,55.62942478,-0.538491742,5.075855873,-2.305318703,17.99740053,0,3.232516924,0.159728335,3.03e-05
0.389534884,2284.343284,2.445851385,1906,285.3787879,1.856008197,3.181664272,-0.425540331,2.185354779,3.137579525,0.220930233,74.52631579,0.760408767,1.058139535,119.0695437,63.29179239,1.029612888,18.10908869,8.346377165,-1.58792443,116.176218,179.9034832,0.077908647,6.419413751,212.9151838,-0.714334184,5.155928634,-3.850109078,16.00630056,0,3.751488823,0.202707736,3.18e-05
0.563218391,1314.734694,3.490781248,1473,458.9081633,1.899953692,2.721786077,0.132782852,2.130366426,3.141542841,0.051724138,69.66666667,0.7195565,1.442528736,152.2577168,67.34167311,0.54838886,23.84842491,4.953153621,12.47869844,116.8966412,179.9857918,-0.519966302,-0.2853339,169.0740507,0.145563002,9.506791648,5.193866116,109.2471703,0,4.980060179,0.517574532,2.91e-05
0.318965517,2975.72973,0.682832663,3182,181.1388889,4.220725989,2.048924336,0.214304385,2.25229138,3.138469231,0.25,74.17241379,0.238217474,2.275862069,100.128437,63.26674449,1.306798261,9.75766602,8.001423194,0.025989723,117.0379189,179.8870154,0.508328314,4.986783933,125.0424429,-0.059751407,1.772653031,-1.345506675,10.28071092,0,4.01725371,0.333621493,5.68e-05
0.317880795,2744.520833,2.098799141,9602,394.3265306,1.026490944,1.497587019,0.104407696,2.206821892,3.140542631,0.059602649,66.0,0.647395948,1.152317881,113.0276597,73.07755119,1.245288172,24.17986501,4.81694589,7.432839426,115.4268778,179.9398381,1.621246009,4.374626562,187.4953335,-0.378128723,13.14946186,-0.097686197,63.7129097,0,4.736634643,1.16325397,4.69e-05
0.49689441,1604.475,1.770837555,1278,421.8860759,1.475492114,2.244410128,0.222882441,2.090855172,3.13830656,0.093167702,74.86666667,0.145200432,0.701863354,187.7309043,78.22383113,1.36010887,22.80406252,4.50602793,38.47481465,122.7492943,179.856117,-2.638026613,-1.775652439,104.9879103,-1.08864236,8.302898744,-3.040803735,21.06248164,0,3.079465482,0.112009026,6.34e-06
